Прізвище,Ім’я По-батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Запорожець,Теодор Романович,Чоловіча,1995-01-11,Маркетолог,село Копичинці,"сквер Наявний 4-й, буд. 2 кв. 3, Оріхів, 37514",868-18-35,halynavoblyi@example.com
Смик,Єлисей Артемович,Чоловіча,1998-04-04,Доцент,село Кролевець,"узвіз Травневий 1-й, буд. 705, Нетішин, 28600",+380 (28) 661-23-16,sychadam@example.net
Овчаренко,Богуслав Богданович,Чоловіча,1980-07-11,Фрілансер,місто Миколаївка,"шосе Усатівська, буд. 1 кв. 25, Белз, 12591",+380 51 611-28-79,vasylyna83@example.net
Жученко,Богдан Юрійович,Чоловіча,1971-12-28,Модельєр,хутір Мелітополь,"сквер Рішельєвська, буд. 9, Заставна, 18603",+380 84 785-86-32,zhalilozakhar@example.net
Авдєєнко,Леонід Тарасович,Чоловіча,1985-04-14,Намотувальник,село Білопілля,"проспект Сергія Шелухина, буд. 8 кв. 233, Перемишляни, 47715",138-78-33,boleslavfurs@example.net
Гук,Давид Юрійович,Чоловіча,2007-08-06,Фрілансер,селище Помічна,"узвіз Восьмого березня 8-й, буд. 892, Валки, 01822",188-86-66,okseniiaiefymenko@example.net
Тарасенко,Андрій Петрович,Чоловіча,1993-08-15,Правник,хутір Ковель,"набережна Селищний, буд. 352 кв. 84, Чуднів, 26547",+380 (12) 995-55-40,taras37@example.org
Харченко,Віолетта Юріївна,Жіноча,1942-03-25,Акушер,місто Рені,"шосе Сьома, буд. 037 кв. 040, Овруч, 75411",865-78-85,jmiroshnychenko@example.org
Вахній,Аврелій Тарасович,Чоловіча,1975-03-04,Ґрунтознавець,село Южноукраїнськ,"шосе Басейний 2-й, буд. 93, Баранівка, 38983",035 408 07 56,zharkovasylyna@example.net
Ткач,Ганна Сергіївна,Жіноча,1991-05-24,Живописець,хутір Великі Мости,"парк Головківська, буд. 469, Суходільськ, 53533",+380 05 078-41-07,ruslan47@example.org
Шахрай,Прохір Павлович,Чоловіча,1948-06-18,Графік,селище Дрогобич,"провулок Грецький, буд. 1 кв. 314, Дунаївці, 77741",+380 (58) 360-79-80,fedir88@example.net
Чумак,Камілла Ігорівна,Жіноча,1961-11-15,Різноробочий,селище Горохів,"парк Посівна, буд. 336, Тисмениця, 63932",510 53 35,iefremdashkevych@example.net
Тесля,Ростислав Степанович,Чоловіча,1953-06-07,Фрілансер,хутір Ромни,"площа Ганса Германа, буд. 3 кв. 251, Виноградів, 75151",+380 79 161 26 54,sheremetivan@example.org
Засенко,Василина Андріївна,Жіноча,1959-09-10,Модель,хутір Бердянськ,"парк Лінія 30-та, буд. 42, Жашків, 54280",022 225-51-71,zhaliloada@example.net
Дзюба,Лариса Степанівна,Жіноча,1946-10-16,Випробувач,село Саки,"провулок Бахчева, буд. 21, Ковель, 44182",+380 39 803-96-49,marusia89@example.net
